308	536
472	386	
193	404	
290	244	
138	517	
324	521	
149	442	
374	414	
373	417	
258	382	
433	595	
194	326	
472	372	
350	521	
350	521	
343	646	
403	360	
403	361	
403	362	
471	324	
428	456	
428	456	
437	296	
437	296	
424	268	
77	270	
172	353	
278	521	
522	593	
498	574	
160	406	
426	498	
339	452	
340	454	
457	492	
185	289	
79	316	
67	307	
314	434	
249	544	
408	376	
435	492	
477	365	
532	329	
322	484	
217	328	
376	278	
350	329	
314	622	
356	288	
237	414	
237	413	
134	318	
483	264	
178	326	
170	436	
170	437	
170	435	
442	383	
284	472	
284	472	
397	383	
404	269	
384	484	
350	532	
364	462	
547	324	
324	386	
324	383	
323	380	
324	382	
322	378	
229	193	
317	366	
319	340	
416	472	
196	311	
257	407	
258	406	
256	407	
202	273	
192	242	
422	562	
355	259	
439	281	
202	462	
439	442	
419	550	
523	402	
529	207	
522	216	
516	224	
468	501	
461	316	
461	316	
300	277	
302	276	
448	304	
180	344	
238	336	
238	336	
276	295	
91	461	
242	483	
112	301	
432	352	
253	312	
397	413	
438	608	
214	421	
214	421	
192	300	
198	607	
259	282	
527	429	
484	429	
484	429	
389	317	
389	317	
428	331	
418	321	
367	484	
368	484	
367	484	
364	510	
369	507	
281	596	
192	428	
337	265	
413	445	
77	465	
267	560	
268	465	
268	465	
468	550	
356	375	
356	375	
237	389	
237	387	
175	397	
386	448	
129	352	
415	508	
416	509	
416	508	
158	326	
449	474	
331	554	
367	324	
367	324	
166	422	
372	521	
441	619	
259	533	
205	332	
204	332	
203	333	
139	384	
220	373	
314	553	
430	519	
385	217	
301	484	
415	359	
353	272	
337	404	
118	453	
475	274	
258	497	
402	497	
402	497	
154	512	
173	279	
305	392	
288	347	
258	422	
258	422	
257	423	
187	226	
439	223	
215	585	
537	412	
294	606	
518	474	
386	232	
509	232	
503	240	
239	225	
236	212	
213	493	
490	375	
350	554	
350	554	
90	280	
376	557	
335	334	
123	334	
123	334	
119	324	
119	324	
468	308	
141	321	
237	440	
237	440	
216	474	
452	328	
266	307	
263	300	
267	306	
263	300	
295	259	
448	431	
464	351	
466	357	
463	349	
466	357	
389	258	
289	502	
278	320	
417	409	
419	411	
300	347	
300	348	
284	444	
284	444	
284	444	
442	529	
292	395	
293	396	
421	427	
157	373	
243	307	
243	307	
489	448	
254	269	
471	403	
473	336	
430	234	
303	521	
303	521	
162	271	
360	303	
368	255	
368	254	
368	254	
259	508	
259	508	
467	481	
467	482	
249	255	
347	484	
125	521	
104	457	
66	262	
349	369	
308	382	
134	422	
478	291	
132	448	
105	336	
394	223	
419	243	
285	232	
499	430	
172	506	
470	285	
405	232	
238	558	
350	583	
498	382	
454	538	
101	290	
275	583	
245	242	
197	258	
496	341	
384	582	
429	579	
498	474	
498	474	
484	496	
284	413	
284	413	
439	466	
460	416	
460	416	
187	501	
420	282	
393	328	
300	439	
365	402	
133	366	
292	289	
291	288	
271	333	
442	339	
442	339	
412	390	
307	462	
307	464	
414	534	
509	390	
248	499	
324	457	
325	459	
437	422	
144	397	
449	373	
258	358	
351	422	
351	422	
398	433	
397	433	
398	434	
395	432	
399	435	
428	401	
254	452	
332	637	
365	664	
494	460	
237	359	
300	511	
284	352	
321	269	
259	478	
258	478	
258	477	
511	336	
381	295	
312	349	
380	367	
225	430	
272	324	
275	336	
397	394	
327	430	
350	568	
258	371	
408	516	
409	518	
408	517	
359	447	
359	445	
359	447	
374	354	
260	347	
260	347	
232	321	
217	336	
384	427	
188	451	
376	242	
280	495	
157	397	
157	397	
278	400	
476	480	
248	343	
237	368	
217	285	
282	300	
148	418	
385	184	
385	206	
385	195	
232	486	
231	487	
231	297	
435	393	
200	497	
209	350	
495	250	
137	330	
484	563	
347	412	
